id;marca;modelo;precio;vendido
1;Morado;indexing Montserrat Raton;7091;true
2;utilización;cara Guapa;69514;true
3;Somali Ladrillo;Buckinghamshire optical optimizada;78742;true
4;de visionary;Senior;64270;true
5;Plástico;Berkshire flexibilidad;37536;true
6;Coordinador;Cine customized;99781;false
7;quantifying Negro Aldea;quantifying granular definición;80753;true
8;Facilitador connect Acero;International;85925;false
9;bluetooth transmitting Personal;Rampa Yemeni Director;98533;true
10;payment invoice;Jefe;1299;true
